Sale ID,Order ID,Invoice Number,Transaction Date,Transaction Time,Sales Channel,Customer ID,Product ID,Product Name,SKU,Quantity Sold,Price per Unit,Total Sale Amount
IPJS8TQ1,XL1MK3DFEH,7VJ3MLOG,2023-04-10 03:59:50,18:12:16,Online,9JMFJGEV,YVYGP432,Affect Simply,P7XMGG7OL3N3,1,454.19,454.19
V6B5AJXN,DTHBZBMX7X,4CIDJONZ,2024-03-29 03:59:50,14:00:08,Online,RQ9T2VY1,ZU5Z10Z1,Face According,FHGMCH81XJKS,5,266.97,1334.85
2YM85VXV,WXFNRVV5XH,VQBKL0WD,2022-03-03 03:59:50,19:52:41,Mobile,3VFQ99V6,MXIRCFIC,Task Yeah,TGJEUA87O6ZD,10,289.5,2895
E5URXRSK,RV8IC20IES,9IEZ4APT,2024-04-14 03:59:50,01:24:15,Online,0OFBM7PS,JW7MGM1Y,Probably Southern,QCC95L5X8NTW,9,218.9,1970.1
726TN3WM,DGPVDCT4AD,CAWNX5HV,2023-06-27 03:59:50,03:31:20,Mobile,MYG5MXS1,Y4TCTWZC,Yet Out,VPPB1ZDIXQ44,2,359.04,718.08
ZAT5NW84,J6D6FXH6OY,9NQOCPYM,2022-02-21 03:59:50,04:32:24,Mobile,QCY5TF70,TBLETST2,Year Relationship,ZX5WTSMC0EW6,10,129.51,1295.1
5S352FI0,EQT5C5C9ZX,V6JDQ4JM,2020-12-22 03:59:50,13:45:12,Online,YGNMKF8V,Q771BFWY,Alone Industry,4RTF0E4GYB74,6,279.22,1675.32
REFCP5E7,X17PQMCLSV,4EPSFV52,2024-09-10 03:59:50,15:16:03,Online,Z6VFJK7P,X6LEDVP7,Mr Assume,CX5ASO924KWX,1,458.92,458.92
WCBWHX1U,WDMYS93671,OTFMAK2D,2021-02-03 03:59:50,15:21:39,Online,B9V5JHDX,ZU5Z10Z1,Face According,FHGMCH81XJKS,3,266.97,800.91
JXNQUJJD,5RNA7IC9G6,S4P1NAQ6,2023-09-27 03:59:50,03:49:40,Online,CZFEQZT0,39QX8N1V,Enough Consider,MUFJKD5SICTQ,4,464.47,1857.88
2CXKDQ5O,AZXWSF8K50,UXT5L7G4,2024-04-03 03:59:50,07:24:44,Online,I5JUNQU7,IE9YDHB4,Onto Power,73COA4PK1I93,1,340.07,340.07
R3SZSG4K,SF112MWM52,I2TTLEAS,2023-04-15 03:59:50,17:23:43,In-store,DMS1YOOU,WGUAGDWT,Later Sometimes,97X5XPS74BP5,1,51.37,51.37
58H7LNNV,2254JGAYCC,GB3JQOR7,2020-02-16 03:59:50,10:38:11,Mobile,PUP298FU,2DV78IBF,Avoid With,NB3S152IN4NY,7,424.4,2970.8
WOC9P6BU,59BKWD26MR,CBRSN6OL,2024-04-27 03:59:50,20:25:50,Mobile,JSZDG6U1,TZD5QJ4Z,Moment American,9X5GSQBLAQ7Q,3,201.13,603.39
P20VSWV1,KI66V6SRDP,HP7TQHY3,2024-08-10 03:59:50,04:44:21,Online,ULVPG0XB,C7XDEV6D,Final Quite,WAZY87XHC569,6,432.14,2592.84
0IVHW581,IID3TPZO3U,PSFWMG83,2023-02-13 03:59:50,09:24:36,Online,LCC12NKI,ZW6NLLGD,Be However,BU2X3XBGATO1,1,100.28,100.28
QG2Z9VO0,ATR3DMCLMV,1THU2T24,2021-05-16 03:59:50,12:33:35,In-store,6EL1W935,5INYEG6Q,Brother Fund,Z4KGL84S8O8G,8,207.04,1656.32
XFYNDGJO,9NWY961ELD,O91ENA67,2020-03-14 03:59:50,09:16:17,In-store,EVSY48JF,6CDR5KJI,Five A,NC1UEIDA4PZ4,9,80.35,723.15
OZH25O29,LL5BYIKPER,4P9O9LGF,2022-04-15 03:59:50,08:12:13,Online,Q04NM6SN,PU9WNLI2,Ten Employee,3M9K3D8B0ZJY,7,276.1,1932.7
G8P5SG1B,24EFJYETX9,6N0NPODV,2021-06-21 03:59:50,18:32:40,Mobile,99XR7MSR,5036DN15,Different Probably,W9L1R4HMMXRH,2,408.95,817.9
HVVNNXY7,A7URVFFM9S,MVJW5ER9,2024-01-30 03:59:50,11:05:09,Mobile,ACA46LZE,RTETNE9C,Out Outside,WK2S12ISH9FF,8,325.44,2603.52
A0V0U44E,N4PCA9N9PW,3EVA7U8K,2021-11-26 03:59:50,00:54:08,Online,X4A3345X,CCFGMU5J,Skin Student,2D6IFZMEZ9KS,7,384.57,2691.99
LLRSLU6X,WH1O24JBSY,APCWH8DF,2020-11-01 03:59:50,12:12:24,Mobile,PT9SH537,5FHLXPW2,Car Discussion,N3WQDAFGJ22A,3,57.36,172.08
UCECKEE8,1SV8WPX2F6,40CDBOCY,2023-10-18 03:59:50,16:08:09,Online,VT53N6F2,O3SFZM5W,As Right,ZXVQZBALQGQY,7,351.43,2460.01
FU7XF8T5,IMABY66YAJ,08XTLWT8,2021-12-28 03:59:50,02:24:44,Online,05YXSOPJ,MIAMC7SR,President Nothing,LEGY68S89800,4,153.57,614.28
B3PNKQLW,WP2N6LF80M,WL35OWPT,2022-10-09 03:59:50,08:14:09,In-store,FBG8KI8T,U05QRHH9,Son Field,0TIGSXMU1AEO,6,496.6,2979.6
UD9EHOXY,ARDU54CFWC,HGX42IR8,2020-04-24 03:59:50,08:01:45,Mobile,RBRJGFS1,U05QRHH9,Son Field,0TIGSXMU1AEO,3,496.6,1489.8
ZO4Y9SMT,8C9CBAFPSU,7ISG5JUY,2023-08-12 03:59:50,17:48:57,Online,DHK08KFN,CRGFJ1PJ,Though Interesting,OA64MDKURWX1,6,337.89,2027.34
RMODAYIB,PRE5SZT406,8BJTZTXE,2021-05-17 03:59:50,22:12:39,Mobile,ZMGJJI7Q,RTETNE9C,Out Outside,WK2S12ISH9FF,7,325.44,2278.08
ZSTR3P2H,SYB4F641A9,GT93FI70,2022-02-16 03:59:50,01:38:03,Mobile,535H6EL2,I9PMBVPV,Current Economic,M7ADE92XR1NV,8,79.54,636.32
HT9OH4VW,LRAH8OU0GD,C2JRYYFR,2024-02-12 03:59:50,04:05:29,In-store,CPMQUDZ1,9K5I8VR1,If Look,XS273DTME9N0,1,375.72,375.72
JOYGENRA,86PZPBR0JQ,NKESW68H,2022-06-03 03:59:50,20:06:07,In-store,EFR7HNR8,BOE5KMM2,Rate My,CO6ZQ4NW8QNN,10,175.63,1756.3
8SBHGOQ0,F8R5K8NAEO,W8VQ7C7P,2020-04-27 03:59:50,22:39:57,Mobile,7WXPLFU3,JUS549LY,Time Each,K6J5DELTBHN4,5,98.63,493.15
KR11X8AW,ST7IMBA9ZB,UP7VF6HQ,2019-11-09 03:59:50,04:05:35,Mobile,HQDFN0PP,Q74HN3PX,Magazine Already,G0R9NGGA6RPK,1,207.53,207.53
Q58UXZIN,90F5GV8SXK,Y477WWKP,2020-03-20 03:59:50,14:54:41,Mobile,BU2AIJUK,DNSBIF9O,Analysis Late,XIOR7UTVFU99,7,379.48,2656.36
FB2HB2JH,6CA9KP1YNA,54PLP9E9,2022-03-15 03:59:50,06:14:15,Online,STTWW89H,H571DD6A,Politics Arm,ZEQ10TG5T5I0,1,442.97,442.97
FL8UJ6BV,J9NPTR7MZT,YIAEDW9H,2021-11-04 03:59:50,08:58:32,Online,SZZRSUU1,GCHRMU1V,Argue Ball,QPU2308O1Z4M,7,245.16,1716.12
O5YMHVHG,BTWTU9HQ47,0DXEVZJ3,2021-11-27 03:59:50,23:59:40,In-store,A0H59SQ5,FUC131M6,Model Body,HXVUUWVWG23D,3,318.93,956.79
9FNDEQW1,PHCSFNEYFB,1WN99699,2021-08-10 03:59:50,14:40:30,Mobile,EFK1MHDC,8DMIOBEO,Especially Could,RBV4BE05VJ9A,4,467.99,1871.96
FFSQS3IR,7I6YTUET8Y,02FUIM3Q,2023-12-09 03:59:50,00:15:03,Mobile,LHDC965G,KGCMOLV1,Campaign Pretty,03IE1EQ0GNY0,6,359.73,2158.38
DVR3FG8B,FC2C89864Z,U6LJ64JW,2020-08-04 03:59:50,23:35:00,In-store,82BQDNZ6,KO9COGIP,Event Into,WPN49WONOCCO,1,361.27,361.27
3PQ45SF1,RD1ND9EIDI,0KV7VHNR,2020-11-20 03:59:50,09:25:52,Mobile,KPZQ76B3,2IIAVYPJ,Quality May,K6Q5FO1K8DC3,2,422.7,845.4
UCSVEM58,3SPP6LEWGL,V1X0PUBI,2022-09-01 03:59:50,12:22:28,Mobile,FSFJBABK,FDLZS4KK,Partner Hundred,NBZWC4QXVGQQ,6,106.92,641.52
AF7HQP88,F8BVBRQ3HD,67TR4VJD,2020-12-13 03:59:50,00:33:04,In-store,NP3ZCLF0,9HR303F7,Drop Side,MRQWBXGWUTZ4,2,86.32,172.64
NSO4IZ1G,P1UPJ15TVS,6NJJSF9T,2022-07-20 03:59:50,08:59:36,Mobile,D6YKVRYU,NN0N26J3,Parent Behind,DLNRMDNUQ17N,5,313.97,1569.85
BOF31G3N,D9Z6Q9O10B,C1335FKP,2023-08-03 03:59:50,13:56:50,Online,ND9M13YI,VTD67CM8,Hit Type,1TSAT4BTNR9Y,10,344.88,3448.8
198IAQV5,5FGACHS5C1,WSNI2L7O,2023-01-31 03:59:50,16:00:13,In-store,5X1C08U5,QIZ5NLF5,Rich Yeah,0W090PSBD9EE,6,429.06,2574.36
2S7D2AJR,GIIBRPP0KL,Q95WU1JN,2023-11-23 03:59:50,22:49:37,Mobile,T313RHD4,806GXZ8R,Development Water,1FYBY4KGDEIH,2,335.71,671.42
I92L31UA,HLV320IEWC,IF2VFC8H,2023-01-24 03:59:50,14:47:44,In-store,PT9SH537,2UEXWL6U,Site Me,X3ZHHXULQZ0E,9,479.11,4311.99
J6QI1A55,PXOYODDGUF,ORW8ACM6,2024-05-22 03:59:50,09:15:41,Online,2YMZTWL0,HAFB95R5,Trial Financial,OP74TPRQNO7J,9,214.63,1931.67
MCAPPV9I,HMSSFPLOVI,GNN8YDE2,2020-10-04 03:59:50,13:50:29,Online,45JNBYBP,KJ9EHGAF,Animal Part,YTPB109M1SFW,4,13.81,55.24
IGU4LFZV,T71FR2ZN5F,1P6TF2JY,2021-10-26 03:59:50,17:03:26,Online,Y3KIQKNR,1JRCVGLB,Bring Smile,HU5DHDHB2JZ6,10,21.06,210.6
U8L1AUZT,2GC811H0ZW,YBMG4DRN,2021-02-06 03:59:50,20:41:35,Mobile,OPW0LHS8,UF0FGT77,Natural Arrive,CDU8ISUORZIA,10,203.01,2030.1
2ZJN597N,XUVQE75MBF,HJKI8KPL,2020-06-05 03:59:50,04:09:05,Mobile,S9K13JBO,U6SRVE2D,Night Require,27O1AHRR14H0,2,216.4,432.8
KK4XRA04,IMFXY1DUYL,TLWZYG1N,2022-12-06 03:59:50,19:32:57,Mobile,8J9VT3AG,VRXMO3KM,Industry Vote,8P67LUKI5U0P,2,304.15,608.3
Z52KIZ32,V5RG5U6K05,KJD0NA5W,2020-02-11 03:59:50,23:01:28,Mobile,82BQDNZ6,4NVYYHC0,Well Walk,FO5TRCY57R5T,9,496.04,4464.36
HWRUHQIW,SZ31IREDQY,YKQNIA8W,2023-07-23 03:59:50,07:16:13,Mobile,BV63DB1V,ES4BEOMP,Scene Message,ZEQ1BYPPTU5A,10,120.9,1209
AKC3ZZ2E,P7UQX3YX7N,F78VACQT,2022-11-24 03:59:50,18:08:10,In-store,RFJOQZ5Z,1JRCVGLB,Bring Smile,HU5DHDHB2JZ6,4,21.06,84.24
TIFB1FZJ,E4VXUWSG6Q,X53J3H2K,2024-04-12 03:59:50,18:52:00,Online,TNBZE3F2,I0B5URO4,Heart In,R7BJ08VJXYVK,9,219.09,1971.81
P2EBVAYT,Q3E2NR8CBQ,6DCHP2L7,2023-06-24 03:59:50,12:47:05,In-store,7113K0N1,EF8AO40N,Manage Interview,NOSVTDD0TVNT,5,194.49,972.45
NV2941V8,XEPE2K6PW4,Y09VYLAZ,2024-07-13 03:59:50,18:23:35,Online,TRH20BPV,AHYW23J0,Wait Will,A13IMOAO2CGH,1,251.1,251.1
MCX5SEZU,I0158XYL48,PZWA82J9,2020-03-13 03:59:50,15:08:57,Online,38BB60ME,29JV2XOJ,Provide Air,ZE4O6L1KO28J,1,196.34,196.34
LBZEBUUJ,N1EHRFWBKQ,FC8UXAOB,2024-04-26 03:59:50,00:40:01,Mobile,05YXSOPJ,L8LIGRO4,Every Operation,SMQGJXPBO6VG,7,56.66,396.62
G476PPXJ,OEUFRB51GF,VPI0NJ1K,2020-04-20 03:59:50,04:40:23,In-store,Q04NM6SN,LZ6YZGRR,Left Cover,39155QA4VUM7,2,296.4,592.8
VS97LCMK,R5OB9CN96F,9CV2XNCS,2023-12-01 03:59:50,07:05:23,Mobile,CY6DL49B,IE9YDHB4,Onto Power,73COA4PK1I93,10,340.07,3400.7
9GNER1B2,OS07FH6GI1,I0LB5N64,2022-04-29 03:59:50,09:37:55,Mobile,8ZSKZEQG,5YO1F87I,Speak Factor,A1N0MX3JKV2B,5,465.91,2329.55
INK05WG1,M5H5HJ08JN,QZRDH7AY,2021-03-05 03:59:50,06:03:15,Mobile,SGVCBOTC,RBDZ2608,List Month,CUHY5B7R8OVD,2,496.8,993.6
B6JUP44U,KIRJL3SWR8,7TJWORAF,2023-06-08 03:59:50,10:17:36,Online,A75J1052,S53ADXC9,Through Enjoy,Z3GG985CNMXI,4,384.01,1536.04
LD7VDCT1,ABUC001Q0I,FZYX2RCZ,2023-07-26 03:59:50,06:37:50,Online,SSXVVP7T,5FHLXPW2,Car Discussion,N3WQDAFGJ22A,3,57.36,172.08
99SY5PWC,YN7QV0WYZW,3WTP78M4,2023-12-28 03:59:50,07:28:23,Mobile,5U1PN8KR,LS32833C,Easy Dream,4V51NRG5MLUF,2,104.57,209.14
MB4J0KUZ,RC7LID6HAB,WR9DYV5R,2019-12-19 03:59:50,23:23:27,Online,145S7KM0,029HGEIX,Determine Price,AHLJIYIWGFB3,1,396.66,396.66
B1RGBEIF,42Q5SJKYIC,94CSCY9S,2022-06-25 03:59:50,03:57:08,Online,G0DWISZG,UXOYY2G7,Catch Ability,QDC36AMI9V3G,7,214.82,1503.74
B2VSC0NY,5DTKM87O70,6B3TMG03,2021-05-07 03:59:50,03:09:42,In-store,Q27S6XKI,0TKMN04W,Loss Democrat,OKU4N5NSMU9G,1,278.35,278.35
BHKRN50L,KEUP9HCH92,PGA58HKY,2023-02-01 03:59:50,05:06:11,In-store,83OY05YT,E8543UJ2,Trial Leave,EQGPGCE1DQ7E,5,411.82,2059.1
H5XCBW6F,H845ILJGJV,SXAV2BTT,2020-05-18 03:59:50,01:46:37,Online,ZMP13MF5,L0FNYN1C,Director Common,QZW90Z3GV0AZ,7,255.7,1789.9
CKVYF6ZP,300CDD3HDY,T36DFHD5,2020-08-16 03:59:50,21:32:15,In-store,XI00I1L5,92MI3PDE,Mouth Live,QHQKCHP4CJPH,5,285.84,1429.2
4JR4MWMN,QN5H9OHOZU,1KG2ZLGB,2020-05-29 03:59:50,08:20:34,Mobile,V4ZBYVFJ,550CA83Q,Accept Alone,S189QTVDP9A5,3,86.24,258.72
9YSTJDT6,81ORCSEGUC,LHVQ5V02,2024-04-18 03:59:50,20:06:03,In-store,8ZSKZEQG,8FEURINK,Art She,N4JOC8WI1CQ2,4,266.85,1067.4
CTDE8716,VFMGFYAO9J,MW1ABPSQ,2020-07-13 03:59:50,14:23:50,Online,TP8T3RNZ,KX5LNX5Q,General Help,XKMQN0V1MXX8,5,499.41,2497.05
1AJMP0NG,607NQGLL7I,LC02QNTY,2022-01-31 03:59:50,07:30:26,Mobile,8IX0PI7V,VMXFJ95K,Level Fine,9E0KFHEDYSAA,6,308.67,1852.02
GXB33OXB,42ABC6CIK3,AEFXX272,2019-11-10 03:59:50,14:53:20,Mobile,K0LD97YH,KKJ8WYZ3,Front Everybody,BLU2JV4AONQL,3,74.71,224.13
J21XSG3X,AEPPYGLKCK,M9HHIEVO,2023-02-15 03:59:50,11:03:15,In-store,WM9DD53M,BOUG34P3,Southern Across,1DG2PZKAPUCC,2,477.28,954.56
M7PQVPGA,8VRJ6YWSRI,NYJ9V7QK,2020-05-04 03:59:50,19:53:44,In-store,KJW5WR89,5LIEUOTO,Single Executive,XKKQZFI1A5ZR,2,244.07,488.14
BR2TQ3FN,CSWBDGO3QP,ENS0YRYB,2021-10-13 03:59:50,01:33:13,In-store,QJLTF61V,T6WZ6GXP,Early Keep,1VDBLBWT5EZS,1,187.03,187.03
WEVZZEM5,405H41JLOG,BISI82WF,2024-08-23 03:59:50,05:37:29,Mobile,KZOP8961,1KRH9DOU,Agreement Message,9RX0W7SVMOHA,6,249.61,1497.66
H56UHKB4,1105KJFSNV,NMT36OVU,2021-01-02 03:59:50,07:45:20,In-store,KNQ789VR,5KF133OH,Film Much,9F6NGHG0IYFS,7,492.27,3445.89
6ZWG3CMN,W2BEY8SS02,S0QVT7NG,2023-10-31 03:59:50,18:39:42,Online,EMP19JG1,G1DDJAAC,Perhaps Him,LR2E0Z3359W9,7,465.35,3257.45
FIQ410GO,LMOXSZ8YP8,F3UOPOLB,2021-07-13 03:59:50,03:26:29,Mobile,TH0DNJW8,5I5R95CR,Significant Power,RHQIRP19QDVV,1,292.08,292.08
O89DAONZ,U7WLT7PBLA,67XB9347,2023-10-18 03:59:50,05:57:03,Online,5W48L5PR,8UTYUFSL,Industry Move,7D4W0UHT9Z5K,7,209.96,1469.72
GI6OSWXZ,SKFMS4G25P,EF0DJZYI,2023-06-02 03:59:50,18:11:17,Online,26YOS3D0,5KO8EMMS,Our Art,N2XM8MWH6583,2,94.42,188.84
PMWW52YH,OXSP8TN9KP,MNEYF0MU,2022-11-03 03:59:50,16:43:33,Mobile,DMS1YOOU,NW2JL3YE,Say Air,3JDU3DPUUU78,7,270.29,1892.03
DRJ7S013,N0CQANWXTD,IGUXSNMP,2022-07-11 03:59:50,01:57:01,In-store,RNI6R70B,DVJC5IWA,Once Make,6HDAJPZ0VYP2,9,153.2,1378.8
BYP9SZ50,DH6W969TXO,0Z96IU3U,2024-04-20 03:59:50,18:33:23,Mobile,XT4500VG,L9F7CLRB,Raise Book,0EYV1V388932,1,465.99,465.99
1TF00MOP,C7UENXT8MZ,7DITX875,2023-04-13 03:59:50,19:42:15,Online,DP8NCC6Z,4NVYYHC0,Well Walk,FO5TRCY57R5T,10,496.04,4960.4
QM5477JO,CFHRJKGTK2,ZIXSUJLD,2023-07-31 03:59:50,05:11:18,Online,EDXG75WZ,W7PK2EVA,Provide Western,H4X6389B3CQP,9,65.65,590.85
RB11QHKR,U07213S5CL,FNJ7FK1S,2020-07-28 03:59:50,03:31:06,Mobile,JWJ3BILI,X07DGSUV,Action Option,SJGYIY7DB2TR,2,350.9,701.8
4JGQQFDS,I7WTF6DEL3,P4SVCI2R,2022-11-17 03:59:50,10:55:25,In-store,VLBIECCG,GA9HOXRG,Energy Protect,4MWRD1GVLJ33,3,208.47,625.41
MWHPW3A5,65743EC5E0,LAPISJUR,2022-11-28 03:59:50,05:51:19,Mobile,VP0HLE4D,IQ2UR8KI,Measure Need,CJ1B8NIM072N,5,219.05,1095.25
QDYR1HN0,T77OH5XSEZ,ZJF7CQ4U,2024-06-14 03:59:50,19:25:16,Mobile,TYNCOQ4Z,SOSKAXIB,Garden Imagine,5DWI6O4HZ0QW,10,307.64,3076.4
GPGGBC05,4EKC8LLGKY,YM9CU555,2019-11-12 03:59:50,14:18:14,Online,M4Y9PF15,PU9WNLI2,Ten Employee,3M9K3D8B0ZJY,6,276.1,1656.6
R7FOQLMD,TLZZR2Z860,CFM38XG0,2021-08-24 03:59:50,11:22:20,Online,BPDRBA44,EV4YWIYH,Same Amount,EHX2WRNGSXHF,9,277.12,2494.08
