Product ID,Product Name,SKU,Brand,Category,Subcategory,Product Description,Model Number,Release Date,Price,Discount Price,Cost Price,Wholesale Price
L0A0YOGQ,Car Early,HY2OEUUVARL3,Nike,Fashion,Footwear,"Serious try identify employee serve such.
Bad feeling kind style likely. Short east tax.",CA5E4QC93M,2024-01-31,209.15,189.6397029,186.8326327,165.8330397
68QN2YZE,Agency Science,ORV6AYF8YPEK,Adidas,Fashion,Accessories,Catch level life require that. Home no treatment pick none discover some. Own away old country.,P5J3AVK84E,2022-09-21,347.12,337.1659211,273.3374779,249.945808
5INYEG6Q,Brother Fund,Z4KGL84S8O8G,Nike,Fashion,Footwear,Term apply paper close material citizen member. Probably very manage computer.,PHWFNTYDNY,2023-08-08,207.04,163.0336489,116.1186471,87.63045044
N7P462P4,Crime Important,SI5OLEOJW7UX,Adidas,Fashion,Clothing,Land reason mission letter. Support color this season forward understand.,2JUTOI7EB2,2024-01-21,250.36,237.0710675,195.9157364,166.4966395
QILZDHSC,Field Hand,KFB8BSYYR6II,Prada,Fashion,Accessories,Agree miss music together. Push either cell available.,GUDAW11TS2,2024-06-19,246.5,208.389911,206.0378054,184.9869119
DK0OBT0S,Quality News,1B5BKQ5LLXAG,Nike,Fashion,Footwear,Prove successful technology rule such. Soldier throw son writer.,FFYUQK32XA,2022-09-18,420.26,381.5009717,335.2923423,312.2932035
QAB3NFSU,Deal Senior,R7AAZT0IA6BE,Adidas,Fashion,Clothing,Of social not perform. Machine wonder effort help. Writer deal peace yet.,SXVNB2IHH1,2022-12-11,104.5,75.17130053,75.48734346,54.79027449
7XUO9JII,Serve Natural,XIOGRLWWBU1R,Gucci,Fashion,Accessories,Help remember role argue cell central. Administration attorney usually magazine.,8KY0B41R47,2022-07-05,297.91,249.7659462,248.0099345,234.1843237
S3OBCNYG,Tell Staff,7CVJ1U3WLKF0,H&M,Fashion,Footwear,Peace item majority oil social throughout.,1WX52CVDFD,2020-03-28,280.01,235.132749,243.049675,220.7888759
C1FCK4HD,Stay Past,HR9P4H4FMUUM,Prada,Fashion,Clothing,Consumer community room analysis chair. Name throw big enjoy that.,CJJOEB10CZ,2023-04-20,166.42,145.7976902,86.34889953,67.74317152
3NVXE1KR,Over Sometimes,HD12Q8WCENL8,Zara,Fashion,Clothing,Note positive economy case trial sit during. Community mention power on page program agree.,MTH0MCVO5M,2023-03-18,368.73,350.2648169,342.1614539,312.8458965
4KUX8Y35,All Account,4YQSN4X9066Q,Nike,Fashion,Accessories,Congress himself across understand big size own. Song successful line computer address anything.,4CKD5HEZEG,2020-02-13,73.28,35.87305286,16.77984879,-1.336725215
6SW9Z516,Prevent Too,LA92ZKH9H7ST,Prada,Fashion,Accessories,Range never church around. Our face success. Camera according officer floor along.,ODOUX0XSRO,2020-04-13,393.16,380.7492062,344.3375871,322.7062856
W3D6XEX4,Region Sure,EV3MC5JY4JQA,Zara,Fashion,Footwear,Free good certain collection return pay. Affect if center.,PX6AR45GQA,2024-08-09,33.04,21.6981103,-42.63836164,-65.33522983
BO3J0F8X,Serve Quality,NPWWJ95IO4HF,Zara,Fashion,Footwear,Game sort western each important. Travel theory meeting baby.,OMMCZS55ES,2023-12-19,318.35,283.7091413,283.0990575,261.7782175
SBQKZ740,Rise Get,Z4HF4V4IY96Y,Nike,Fashion,Footwear,Area finally student environmental pull eye.,SHFMK3VC0G,2023-09-01,44.84,26.2176054,-15.66036148,-29.95294355
C7XDEV6D,Final Quite,WAZY87XHC569,H&M,Fashion,Footwear,Pressure these cultural everybody financial present. Himself beat more street.,5LZIPE3WWB,2020-09-29,432.14,410.111109,350.4377478,328.9233772
YEQ6Y959,As I,T0VTUDO3JWWF,Gucci,Fashion,Accessories,"Like set serious politics hope. Rather hit him rate.
Congress together change TV ability no.",RNZJ0JMXWG,2021-07-07,484.02,457.7831132,430.9879352,406.1970979
1ILJNCPB,Wish Not,EFXFG6KQHKRI,Prada,Fashion,Accessories,Service hard though impact.,SXD8OI3RA1,2021-02-23,259.64,246.7858106,186.7817506,162.3869898
XM0W5H99,Relate War,16O3WSK5658J,Gucci,Fashion,Footwear,Common since another. Cup mind education build family international share.,9WLM3U7RJJ,2020-03-03,87.82,60.56025365,18.71831891,5.10403955
SYV39QCL,Expect Read,9UZIT4RDMMP4,Adidas,Fashion,Clothing,Professor receive would.,YAVPDAF2SU,2021-05-06,440.93,416.0351111,378.3288178,349.3520905
SRMXFT8L,Find Quality,IW7OQX45XPXL,Prada,Fashion,Accessories,Man need quickly continue character reality.,WNQJ309D8U,2023-11-17,37.25,0.718746956,-59.45978598,-71.80790758
ZIJWCPB3,No Force,RB4YI0BQV8SA,Nike,Fashion,Clothing,Simple of water per without evidence organization.,XL8U1T0OFD,2021-10-17,369.44,344.902958,309.6110748,285.8760258
C2SXP08T,Never Consumer,5R7WS6P1GH4G,Prada,Fashion,Footwear,Us institution red federal difficult. Social culture even tell.,35A6QDHP6M,2022-11-11,138.75,89.79656229,117.3399122,95.30372345
5XUDPDIX,Congress Sound,SA8345IN7ZKU,Prada,Fashion,Accessories,Interview worker then air structure could. Day around grow well. Same miss result couple figure.,EC2KSHEZU2,2020-02-04,320.33,312.7252345,276.9325924,259.5773944
LCP3YLF1,Here Work,115KIX59X319,Zara,Fashion,Accessories,Consider information sort accept. Political week rock yourself writer ready strong evening.,K2G8O1F00R,2023-07-09,306.48,268.4685285,219.1340115,189.3689735
T5SVH65A,Office Quality,PI7QZSN2KIAM,Gucci,Fashion,Footwear,From similar statement wonder hope Democrat enjoy. Similar group bring direction.,ACIWI14FLU,2021-05-17,173.44,165.335938,109.3075701,98.4554646
YYCGGV8D,Base Agree,J4SYLJXTRNJS,Adidas,Fashion,Clothing,Term relationship future both in box year edge. Worry happen feeling baby.,JDO5NMAL5E,2021-03-13,81.12,68.12524531,-14.48668932,-33.37645382
VBYJB98O,Think Word,5GWGGW44TAMB,Adidas,Fashion,Footwear,Small choose bag. Study sing evening throughout language. Have seem act eight often national.,YHV3GH3X3B,2021-11-18,405.54,375.5567422,339.8481692,317.784766
XZQMQL9M,By Raise,90RSQBNJ4LE2,H&M,Fashion,Clothing,Understand look five your understand black.,WJC7X3JNMH,2020-08-03,19.28,-0.999203281,-44.49223805,-71.41364878
LGK4WRWH,Plan State,8FDXWU72S6RC,Adidas,Fashion,Footwear,Prevent standard recently learn hard positive way. Eye glass result in.,NG58PJG3SP,2022-01-12,397.87,370.8783911,326.3683955,314.5776159
NBOGHRAY,Friend Election,RDTWRL558TT1,H&M,Fashion,Footwear,Recent involve policy. Answer usually cultural onto find water keep two.,G0XUK6ZHA3,2022-12-25,487.48,452.7480798,391.5375588,379.0615321
ZVHI4TK1,Poor Strategy,VN3CDBKYVUOP,Gucci,Fashion,Accessories,A understand subject other. Back score road rest short. Book center outside light everything.,5Q8B5NNRVJ,2024-08-30,44.12,-3.172967171,-47.97598639,-68.20680503
5VNO67LR,Control Memory,CTC2BH3CGTVX,Nike,Fashion,Clothing,Particularly wind trade sense sure shoulder together by. Ok head cut later prevent hear.,737OLN0F59,2022-08-03,128.54,117.1963192,37.61078693,24.64699345
SOD0ZPN0,Pretty Pattern,QD6F0IC5ZJRH,Zara,Fashion,Footwear,Yet tonight care wonder hope. Middle mind senior tree work industry.,AY9Y3DE5N5,2021-04-28,484.28,469.1781838,409.5547489,383.8595839
84XBFS43,Loss Least,6T8JRKL0DLS9,Nike,Fashion,Clothing,Event small machine hotel. Be draw car investment parent activity truth.,210YAA66Y5,2022-06-17,241.19,197.3379757,143.5835963,129.4388305
7VUO3K1O,Section Subject,RYVQ3FRAPTV0,Nike,Fashion,Clothing,Bad speak seek field music amount anything. View economy camera environment.,WS17SCNI9U,2022-02-13,384.79,364.1999756,294.1834122,271.9029861
9ZP7OAH5,Example Fund,J2K28Z2PN46A,Nike,Fashion,Footwear,They no data. Enter enough phone senior require. Pretty have wish sell different event.,ZY49HNACN5,2022-08-05,209.75,175.9941296,171.1319146,154.2813875
NACYAYP1,Institution Black,D3YQIWXHGM2P,Zara,Fashion,Clothing,Sing woman sound close. Body section take political who wear debate.,QI1DI83LZP,2020-03-25,416.32,391.4741205,392.0900129,378.9172554
LM8S7GE9,Surface Other,U6AAAAD9WK66,Adidas,Fashion,Footwear,Million decade evening financial four which.,1MIO35NR9N,2024-04-03,252.32,237.3302808,161.7152839,133.606893
OOC4DY7L,Son Four,C170KDJW3XIF,H&M,Fashion,Footwear,Situation enough college. Military all especially them true size. On gun fact talk young speech.,ZLELQYH6SE,2020-12-10,232.97,212.413015,134.2550339,105.9587632
ANDDFWMR,Out About,THBC14TA8BLI,Prada,Fashion,Clothing,Himself painting his visit. Air morning current history charge somebody.,QAM6D1XS08,2022-06-28,32.77,6.376898588,-17.29888109,-46.67698923
JTWHB1G2,Another Serious,E4ZHPDVV2M22,Zara,Fashion,Clothing,Eye house around station machine magazine open operation.,M1ZMG2QKP6,2020-07-24,129.07,80.95158283,59.44119486,45.32103176
Z2ECBIX2,Feeling Floor,K5T2WJYK280W,Gucci,Fashion,Clothing,Third organization individual his.,L97MCTNZ3Z,2021-08-26,211.78,194.7704087,146.8981047,118.1726766
2ECN2D1X,Tend Far,WYGZX4MCTUMR,Zara,Fashion,Clothing,Hard three third market determine single. Social sport great condition.,89IL49GZGM,2021-04-01,392.09,361.1457921,324.3414497,306.1070758
DXG9ZU1V,Attorney Language,3QOP99RRHIGF,Nike,Fashion,Footwear,"College bill lot maintain.
Forward try network standard. Fear this continue also.
Speak I painting.",9CUEP3NN63,2020-09-19,355.05,331.3049012,297.0696065,278.8366483
SOQD5ICL,Seven Marriage,6KI8NAUZRELJ,Zara,Fashion,Clothing,And discover major computer. Modern charge who scene guy finish power.,8LFMMDI5P8,2019-11-05,252.91,233.9793592,159.4169368,138.1324172
10REGNFL,In Media,4QXMFQWWL2GO,Nike,Fashion,Accessories,But now want next car. Rule figure hot their professor article production.,BILTNRP116,2022-09-12,211.56,193.3713225,157.6647372,131.1207497
LZHXPGGP,We Make,JU5MPWKQ2VIC,Nike,Fashion,Footwear,Often someone PM full national. Event small miss the son age.,C3XI08IZKJ,2022-09-24,352.94,323.5820592,300.0606409,274.864341
8UKXMSA1,Away Heavy,BPODBYWXEPM5,Nike,Fashion,Footwear,Policy history than course water. Determine how contain identify continue property above.,GWZ9OETQ2O,2024-02-20,11.43,2.13517278,-85.16710871,-104.7528879
YIBXNMY1,Claim Less,BO6GDZOMVIWV,H&M,Fashion,Footwear,Tough participant his plan fund. Say seem police give. Hope crime probably billion air.,WL9FH6CQ2N,2021-11-10,245,222.64434,196.9281092,183.191803
M5SN2OLI,Affect Rate,7869RXARABNJ,Nike,Fashion,Accessories,Weight treatment machine military purpose everyone especially.,YRP7BYWF9B,2023-06-22,342.68,295.6992216,290.2577509,271.3205707
QO8PXDGR,Believe Watch,7ZXQGEYVO2SK,Gucci,Fashion,Clothing,Yes much family everything dark traditional. Get voice enjoy beautiful.,AE8WMIE9PC,2024-01-13,144.33,127.1594867,75.4944401,49.2376218
5WNGOCW5,Around Finish,PMI3YWJT1D80,Prada,Fashion,Clothing,Front shake beautiful it.,ED9YW4W6F4,2021-02-10,341.66,314.8005904,299.6192715,281.2668988
ATQC6FAU,International Bit,RAFI6NZ321EF,Nike,Fashion,Accessories,Save song success foreign. Size politics south food simple. Draw how surface involve.,4ARO90WPIV,2021-06-30,128.12,113.7021628,78.471203,54.75245816
UR4GOX56,Method Front,EK134LRIGI1P,Zara,Fashion,Accessories,Involve movie various charge miss exactly. Suggest mouth professional one. Truth group lead.,WA5M2PM0SV,2024-04-01,191.75,160.5300685,171.1197572,149.9196855
59B7Z5GA,Hear South,7B5MT6F22QMJ,Gucci,Fashion,Accessories,Rate kind particularly peace. Meeting growth case suffer find.,3R8BIE1NT2,2020-06-21,378.29,332.6149138,303.1248743,286.3271654
G3FFOO3A,Common Story,S3AL5AMT3HV6,H&M,Fashion,Accessories,Answer officer east may. Rate receive environmental peace game.,S5461FQX3U,2022-12-04,220.94,200.5278784,183.7877644,153.9835503
OG38LPKH,Table Rise,6TI7BO47KZVS,Gucci,Fashion,Footwear,Resource so tree project wonder. Address each against real.,DGFDZKL6HQ,2024-07-14,409.13,392.8784457,374.8188422,345.4885191
AQ3M3F6W,Gas Eat,GIL4JC1G01L3,Adidas,Fashion,Footwear,Peace agency a now. Beat present lawyer information seven million seven.,WUIPFXEJ9Y,2024-03-17,84.84,59.56649899,23.5247306,0.237439252
029HGEIX,Determine Price,AHLJIYIWGFB3,Zara,Fashion,Accessories,White computer establish machine protect.,QSAGPRC5JJ,2020-11-11,396.66,374.9447687,363.6251289,340.1830385
JUZJSGUI,Make For,QY0UWYK9WU68,H&M,Fashion,Footwear,Moment image than vote real late foot remember. Sign leg exactly do expect away anyone.,K5YKAF8V5X,2023-10-14,470.62,441.4624868,416.6430166,401.5515004
XR8XQN0N,Behind Nor,SNAPIDBJK9CE,Gucci,Fashion,Clothing,Whether model federal strong weight address magazine. But role rather right.,EM0R3DQ0TK,2020-09-03,199.83,177.5703573,146.4534312,133.7751354
05F3NOOI,Course Project,WES4EH7G2PN9,Nike,Fashion,Footwear,"Dog series picture ever.
Human time cultural she process picture. List simple dog.",H99NTA4TUR,2023-11-29,374.26,368.0002894,316.4024371,303.6907552
6MDIN1MM,Left Five,FVU4IAL0A4WK,Nike,Fashion,Accessories,Hair benefit know nice stage despite blood. Factor computer technology finally nothing cut.,XQGJWO12Y0,2022-01-25,188.83,169.7208731,159.4387475,131.6361022
HAFB95R5,Trial Financial,OP74TPRQNO7J,Prada,Fashion,Accessories,Card certain include. Step some enter beyond with plant.,G6Y8UR1KTP,2024-06-01,214.63,173.9788193,153.4551924,134.1171828
SC1GNEPM,Sell Listen,7QWO55WQ5BGM,Adidas,Fashion,Accessories,Sense middle meet every style. Test painting nature yard another here class.,I8V4DHQNDW,2022-12-30,220.52,213.9743538,140.4353967,115.4631801
MJ3D3LOS,He Participant,0S9ZAR31BSG4,Nike,Fashion,Accessories,Pattern do action. Wide organization establish debate hope red.,F965NYCQO7,2021-09-20,394.32,385.7189224,317.946309,296.5613866
AK8BNNRW,Conference Short,YHSHBXY6QUXA,Adidas,Fashion,Clothing,Series least former speak they. Sit time pressure affect learn. Deal reveal sense national style.,WNAYW9I14N,2020-09-04,339.26,304.7848141,285.1460858,263.1723643
RBDZ2608,List Month,CUHY5B7R8OVD,Nike,Fashion,Accessories,Friend keep low trial travel. Hospital term away imagine open. Radio yeah consumer recognize.,SEW8SEP6FI,2022-12-29,496.8,457.5736633,404.9007702,393.8613744
87SDD7FO,Across Trip,EXXT2UGZXRC7,Gucci,Fashion,Clothing,Down contain effect development lawyer similar air.,YZ3NGVUBTX,2020-06-29,208.44,186.138373,163.2227225,138.2210236
8AUGQ4PV,Three Thank,I5B7NSRJEODH,Prada,Fashion,Accessories,Long available citizen fire manage. Stage series significant can.,KTHN6Y9352,2020-03-04,119.85,111.2820642,60.89715141,47.24723776
8SNGEKR5,Kid Close,Q85QP90UXBCK,Prada,Fashion,Clothing,Describe speak play east. Push station pressure western.,1PWCG59WC1,2020-06-12,249.78,221.8303411,185.4506183,170.2962675
A41BYSYV,Become Health,K7CSRZKEAWOV,Zara,Fashion,Accessories,Computer book yes accept each foot.,Y9BAS22E8E,2021-11-24,122.6,113.9916973,39.78695215,15.20519408
VRXMO3KM,Industry Vote,8P67LUKI5U0P,H&M,Fashion,Clothing,Answer staff mother. Technology eye left catch. Product piece look ball back at reveal it.,6SOK95SU2S,2022-03-15,304.15,268.7607561,249.4110734,236.1131552
QB8B5QZ6,His Decision,VXEKYWTFVEK5,H&M,Fashion,Accessories,Security later know research stock particularly. Performance share network meeting mention.,BLTPKNGQ1N,2024-01-12,181.96,167.7623664,89.57838418,75.54349407
VIWPUCMJ,You Power,28PUJRZRA2WY,Prada,Fashion,Footwear,Lawyer soon painting central popular deep nearly. Decide yes food worker star trip put century.,IF9W2M89CG,2022-02-09,212.58,168.4364481,113.2638509,89.50162609
3A7WXW92,Go Yet,9B8A7XSJVH00,Zara,Fashion,Clothing,Conference party tough right memory. Machine main half or. Degree concern executive eight.,1BDFBX1B31,2019-11-09,142.87,111.8368525,59.47514911,30.35263505
SKRVWTWE,Page Next,SGZ872RMW9YC,H&M,Fashion,Clothing,Ago tonight government main man hard something. Visit worker role inside shoulder.,QHM2S76VE1,2023-03-06,498.56,479.7812571,435.7236793,423.8935884
MCKIWT7X,Enjoy Possible,CZYC6JNDEYJM,H&M,Fashion,Accessories,Travel get measure also. Magazine argue break instead theory couple population.,6QFLI46IGD,2022-07-29,269.01,220.650616,220.4139499,200.5101812
NNOB4MSC,Letter Process,SPJ4J9GGIY8V,Adidas,Fashion,Footwear,Dinner matter list money get tonight six board. Let become few site police.,LBR0K7O4EH,2023-02-21,226.21,219.4359418,141.1742457,130.0866562
O8IRJ9FW,On Simple,VFWVRFJ4OS5T,Zara,Fashion,Clothing,It this wait every able church war. Government list career way. Friend note environment human kid.,2ZWOWB4BT7,2023-08-29,320.39,313.3818975,225.6849363,201.5819853
OODOBMO0,Charge Total,TGXNW35HX8L1,Nike,Fashion,Footwear,"Message fear teach minute. None increase foreign dream though forward.
Law west trouble player.",TAXWILTZYF,2024-05-03,68.11,21.8919624,23.67612348,12.06440601
DL9K0JPY,Goal Statement,54WE60PD440B,H&M,Fashion,Footwear,Because tell wear upon. Discover place story focus list. Phone choice be serve star.,EONVU6V4CG,2021-02-27,422.66,373.8441945,360.2201834,345.9085953
K4GALF6G,True Might,3POVD9TSCLG3,Adidas,Fashion,Accessories,Product alone seat suddenly capital forget.,0QK8CTFE87,2024-09-11,163.06,152.3106669,129.237368,111.6775708
W1OL2J7K,Crime South,290PP8NNE607,H&M,Fashion,Accessories,Each market role Republican ask interesting. Mouth a within condition always as.,7C8P7IP2GS,2024-02-03,55.65,13.02811585,2.519118177,-17.17545964
FFYIAXFT,Organization Them,IE9680192581,Zara,Fashion,Accessories,Radio leave her rich customer notice official though. World table collection later.,5PUYPUG98G,2024-07-15,487.15,446.5672741,459.4594085,433.7921558
WLS4YG7U,Possible Message,B5YX235L2D16,Nike,Fashion,Accessories,Someone tough project. Plan order thing night scene day quickly.,09ZB6RQQIE,2022-03-06,308.52,291.609568,232.2863765,219.1316065
T0CA0VI9,Cause Score,1M208F8U1H64,Gucci,Fashion,Clothing,Grow my morning through thank first price. Serious eight wide while. Quickly treatment describe.,5XLT1XGURG,2021-07-15,313.77,300.3050192,221.5834976,206.6345392
G6NPTDOC,Apply Particular,L5JGKNOZT7UF,Zara,Fashion,Accessories,Your major room. Experience billion maybe. Entire interest give magazine student civil.,ALZYWV0E5P,2024-09-02,156.06,114.3072617,61.50111306,35.61568188
LGCD0BTH,Smile Face,D4M6P8KF8DZL,Gucci,Fashion,Footwear,Ahead baby material view sport ten risk. Vote environment worker drop why court.,6ADRAR51I9,2023-09-15,400.31,379.064512,356.7764765,336.4787953
S3ATWPMP,Benefit Available,GTZ350LOZX1Z,Zara,Fashion,Footwear,Attention risk president who hundred actually age. Experience house western eight through.,GWFM24PTYK,2024-07-19,252.29,247.2157634,154.8932095,138.8527303
UD9AR85N,Near Agent,0JDP4V1OOOCH,Prada,Fashion,Accessories,Evidence relationship share operation. According very respond.,PM00SV0PAR,2022-05-15,324.12,306.4805517,301.3552526,280.0662976
DS32OC18,After General,AMNYFJT531KN,Prada,Fashion,Accessories,Common door miss choice glass hot. Here see particularly option.,UI77HF8WRX,2021-01-12,103.31,58.40928874,31.11318428,13.33656156
FKKYCDHD,Even Debate,958WZTK7JOW6,Nike,Fashion,Clothing,Current under possible fact become agree cover. Opportunity American these.,8UFCJO17EO,2020-05-09,337.58,303.0605443,262.4085026,248.9808453
4X9MOQBZ,Visit Institution,DRCIUZWXXPKX,Nike,Fashion,Footwear,Save best too wish water here. Actually unit must keep career.,WNSIMULRXR,2023-08-12,176.05,127.4467405,107.3724562,89.44410409
ONNPZV3M,Chair Head,3CLJ4A7VK6B9,H&M,Fashion,Accessories,Message activity site environment. Their none matter always. Account across idea hard your.,GGR09HG3P7,2023-10-19,278.79,240.0643537,242.8475045,227.3074368
98Q597WI,Cup Address,KG42JXI11IDB,Zara,Fashion,Footwear,Character mission dog across mind. Drug worry size recent thought poor kid sing.,OAJ5ZYSAUT,2020-01-16,434.18,384.439413,410.0122427,384.1114859
5WSVBGT4,Land Page,JHG72C0R1P00,Zara,Fashion,Footwear,Wear wind prepare. Thought walk study. Man hospital pretty movie.,JX9IOXYC48,2023-08-14,315.73,274.2673119,250.1949845,237.2716058
BC9LY2HP,Likely They,QQ7AL6XMJ25A,Gucci,Fashion,Accessories,President keep former own. Hard left talk scientist technology grow various.,7ILFMK2QFJ,2023-10-23,316.78,273.8002774,268.2802935,245.8719457
4UHFVGHJ,Enter Record,AKE3N2RGB3LX,Adidas,Fashion,Accessories,Above discussion practice these meet. Movement fast road economic fire.,1ZOEB5ZUJ4,2020-02-05,155.8,133.5693758,97.30624896,80.60296126
CAL71WZG,Thus Could,LU4FM9EI1ZOS,H&M,Fashion,Footwear,Return action present build focus throw cost debate. Fill carry concern go church.,0IWTXHS2BR,2019-11-30,449.59,425.8168383,387.5492968,367.9697431
LSED0PK9,Trade Evidence,5XZWJ1N1WOVW,H&M,Fashion,Clothing,Still my window cover stay sort. Carry cut more include woman night society none.,GHBH1W9WZO,2021-03-30,317.3,311.9254289,250.8167416,221.2481077
0UYC7WOT,We Painting,71D5C9TC6PM9,H&M,Fashion,Clothing,"Others grow statement laugh.
Particular them box quality student. Growth blood direction born.",UZ41RGC733,2021-02-03,472.22,454.1475494,415.3475649,388.3649916
OZ4G743D,Although Common,WY1V8ZH5L3Z0,Zara,Fashion,Clothing,Serious beat nearly nation. Tend never notice nature several if.,G8QZD0XDZA,2024-09-15,387.14,356.7432051,290.7469209,270.4714582
3RKYAFW0,More Raise,36FCFV9SZW1G,Adidas,Fashion,Accessories,Boy reveal while. Six impact become room speech third education.,3OE8G4KA7L,2020-09-18,349.52,337.8840341,269.9079745,259.8860432
S0RB1UG5,Above Within,31RXOIMQ3G3D,H&M,Fashion,Accessories,Yourself Mrs several under. College bit wish Mr away. Senior Mrs safe industry.,S1FYXHHVAZ,2020-06-18,57.12,11.75048558,21.53497967,0.433108804
907AMJ0H,Process Our,AW64PB248KAT,Nike,Fashion,Footwear,Soldier throw election heavy your law performance. Beautiful actually several yes light discuss.,Z72K4ZBAGE,2023-06-26,253.54,209.4670858,218.2946593,190.4497396
