,SaleId,TransactionDate,TransactionTime,InvoiceNum,SalesChannel,QuantitySold,TotalAmount,CustomerId,ProductId
82,3PQ45SF1,2020-11-20 03:59:50,09:25:52,0KV7VHNR,Mobile,2,,SDS3ZOIU,G3FFOO3A
83,UCSVEM58,2022-09-01 03:59:50,12:22:28,V1X0PUBI,Mobile,6,,BD401PV7,OG38LPKH
84,AF7HQP88,2020-12-13 03:59:50,00:33:04,67TR4VJD,In-store,2,,CO798YIJ,AQ3M3F6W
85,NSO4IZ1G,2022-07-20 03:59:50,08:59:36,6NJJSF9T,Mobile,5,,U1EDI9Q4,029HGEIX
86,BOF31G3N,2023-08-03 03:59:50,13:56:50,C1335FKP,Online,10,,LYDGPK2K,JUZJSGUI
87,198IAQV5,2023-01-31 03:59:50,16:00:13,WSNI2L7O,In-store,6,,AONXNOPE,XR8XQN0N
88,2S7D2AJR,2023-11-23 03:59:50,22:49:37,Q95WU1JN,Mobile,2,,G8ZFNRBV,05F3NOOI
89,I92L31UA,2023-01-24 03:59:50,14:47:44,IF2VFC8H,In-store,9,,0Q4KBJ4G,6MDIN1MM
90,J6QI1A55,2024-05-22 03:59:50,09:15:41,ORW8ACM6,Online,9,,1TZQCZDT,HAFB95R5
91,MCAPPV9I,2020-10-04 03:59:50,13:50:29,GNN8YDE2,Online,4,,BKG9IV3I,SC1GNEPM
92,IGU4LFZV,2021-10-26 03:59:50,17:03:26,1P6TF2JY,Online,10,,ULUMVOPN,MJ3D3LOS
93,U8L1AUZT,2021-02-06 03:59:50,20:41:35,YBMG4DRN,Mobile,10,,E5IF2BQZ,AK8BNNRW
94,2ZJN597N,2020-06-05 03:59:50,04:09:05,HJKI8KPL,Mobile,2,,DEW12SAQ,RBDZ2608
95,KK4XRA04,2022-12-06 03:59:50,19:32:57,TLWZYG1N,Mobile,2,,QCY5TF70,87SDD7FO
96,Z52KIZ32,2020-02-11 03:59:50,23:01:28,KJD0NA5W,Mobile,9,,IHGMAAU7,8AUGQ4PV
97,HWRUHQIW,2023-07-23 03:59:50,07:16:13,YKQNIA8W,Mobile,10,,4NV9BHBI,8SNGEKR5
98,AKC3ZZ2E,2022-11-24 03:59:50,18:08:10,F78VACQT,In-store,4,,ZUGHQQ2L,A41BYSYV
99,TIFB1FZJ,2024-04-12 03:59:50,18:52:00,X53J3H2K,Online,9,,65448A14,VRXMO3KM
100,P2EBVAYT,2023-06-24 03:59:50,12:47:05,6DCHP2L7,In-store,5,,V9K08B0Z,QB8B5QZ6
101,NV2941V8,2024-07-13 03:59:50,18:23:35,Y09VYLAZ,Online,1,,5HVUF0M0,VIWPUCMJ
102,MCX5SEZU,2020-03-13 03:59:50,15:08:57,PZWA82J9,Online,1,,8ZSKZEQG,3A7WXW92
103,LBZEBUUJ,2024-04-26 03:59:50,00:40:01,FC8UXAOB,Mobile,7,,MK5N7M6U,SKRVWTWE
104,G476PPXJ,2020-04-20 03:59:50,04:40:23,VPI0NJ1K,In-store,2,,HQ86FDJY,MCKIWT7X
105,VS97LCMK,2023-12-01 03:59:50,07:05:23,9CV2XNCS,Mobile,10,,CY8CXDNF,NNOB4MSC
106,9GNER1B2,2022-04-29 03:59:50,09:37:55,I0LB5N64,Mobile,5,,ROZ6XXRE,O8IRJ9FW
107,INK05WG1,2021-03-05 03:59:50,06:03:15,QZRDH7AY,Mobile,2,,FT1TJQE7,OODOBMO0
108,B6JUP44U,2023-06-08 03:59:50,10:17:36,7TJWORAF,Online,4,,VP0HLE4D,DL9K0JPY
109,LD7VDCT1,2023-07-26 03:59:50,06:37:50,FZYX2RCZ,Online,3,,RB2FH66P,K4GALF6G
110,99SY5PWC,2023-12-28 03:59:50,07:28:23,3WTP78M4,Mobile,2,,9U8COO7I,W1OL2J7K
111,MB4J0KUZ,2019-12-19 03:59:50,23:23:27,WR9DYV5R,Online,1,,N91QFEVU,FFYIAXFT
112,B1RGBEIF,2022-06-25 03:59:50,03:57:08,94CSCY9S,Online,7,,D7ZQZHOV,WLS4YG7U
113,B2VSC0NY,2021-05-07 03:59:50,03:09:42,6B3TMG03,In-store,1,,0DHASBXU,T0CA0VI9
114,BHKRN50L,2023-02-01 03:59:50,05:06:11,PGA58HKY,In-store,5,,E96QCW0H,G6NPTDOC
115,H5XCBW6F,2020-05-18 03:59:50,01:46:37,SXAV2BTT,Online,7,,L2LHMCAR,LGCD0BTH
116,CKVYF6ZP,2020-08-16 03:59:50,21:32:15,T36DFHD5,In-store,5,,M5MY8GS3,S3ATWPMP
117,4JR4MWMN,2020-05-29 03:59:50,08:20:34,1KG2ZLGB,Mobile,3,,1FG1U3BY,UD9AR85N
118,9YSTJDT6,2024-04-18 03:59:50,20:06:03,LHVQ5V02,In-store,4,,B05KPCQF,DS32OC18
119,CTDE8716,2020-07-13 03:59:50,14:23:50,MW1ABPSQ,Online,5,,8BBVWHL1,FKKYCDHD
120,1AJMP0NG,2022-01-31 03:59:50,07:30:26,LC02QNTY,Mobile,6,,7CCXH6LG,4X9MOQBZ
121,GXB33OXB,2019-11-10 03:59:50,14:53:20,AEFXX272,Mobile,3,,LUQ8U20G,ONNPZV3M
122,J21XSG3X,2023-02-15 03:59:50,11:03:15,M9HHIEVO,In-store,2,,55SDG51V,98Q597WI
123,M7PQVPGA,2020-05-04 03:59:50,19:53:44,NYJ9V7QK,In-store,2,,3AF2QUFB,5WSVBGT4
124,BR2TQ3FN,2021-10-13 03:59:50,01:33:13,ENS0YRYB,In-store,1,,OU5QI5HQ,BC9LY2HP
125,WEVZZEM5,2024-08-23 03:59:50,05:37:29,BISI82WF,Mobile,6,,X41P48IJ,4UHFVGHJ
126,H56UHKB4,2021-01-02 03:59:50,07:45:20,NMT36OVU,In-store,7,,KMAWSJXM,CAL71WZG
127,6ZWG3CMN,2023-10-31 03:59:50,18:39:42,S0QVT7NG,Online,7,,MBDGESI9,LSED0PK9
128,FIQ410GO,2021-07-13 03:59:50,03:26:29,F3UOPOLB,Mobile,1,,OZKXMZPF,0UYC7WOT
129,O89DAONZ,2023-10-18 03:59:50,05:57:03,67XB9347,Online,7,,175PAL0J,OZ4G743D
130,GI6OSWXZ,2023-06-02 03:59:50,18:11:17,EF0DJZYI,Online,2,,MZOO5YQS,3RKYAFW0
131,PMWW52YH,2022-11-03 03:59:50,16:43:33,MNEYF0MU,Mobile,7,,S12DMQ7D,S0RB1UG5
132,DRJ7S013,2022-07-11 03:59:50,01:57:01,IGUXSNMP,In-store,9,,XFKVXN93,907AMJ0H
133,BYP9SZ50,2024-04-20 03:59:50,18:33:23,0Z96IU3U,Mobile,1,,AOPJLGSC,9BF5N5GZ
134,1TF00MOP,2023-04-13 03:59:50,19:42:15,7DITX875,Online,10,,GKQP3H7O,MY71TB08
135,QM5477JO,2023-07-31 03:59:50,05:11:18,ZIXSUJLD,Online,9,,BMTPXAJC,ZB51GZFY
136,RB11QHKR,2020-07-28 03:59:50,03:31:06,FNJ7FK1S,Mobile,2,,79T6M0LL,YTSNFUEX
137,4JGQQFDS,2022-11-17 03:59:50,10:55:25,P4SVCI2R,In-store,3,,47J3XIWV,6BKDI4X9
138,MWHPW3A5,2022-11-28 03:59:50,05:51:19,LAPISJUR,Mobile,5,,DFLDXZAT,JE9VWLDP
139,QDYR1HN0,2024-06-14 03:59:50,19:25:16,ZJF7CQ4U,Mobile,10,,P8G5FN80,BVVQWCR1
140,GPGGBC05,2019-11-12 03:59:50,14:18:14,YM9CU555,Online,6,,4S5FMDLA,A0KLH997
141,R7FOQLMD,2021-08-24 03:59:50,11:22:20,CFM38XG0,Online,9,,91UCK4YT,7HPUN4EJ
142,CS6TX9HW,2021-05-12 03:59:50,10:52:34,WC8QVTPO,In-store,4,,EO9KTNHT,3QX5WROK
143,0P716MXW,2020-07-19 03:59:50,07:53:49,VEAHMSAW,Mobile,10,,5U1PN8KR,6554P7DR
144,XG1WPZ3O,2023-03-17 03:59:50,18:31:33,YYRRDM4L,Mobile,5,,LLITE3W1,5HE3Q3BV
145,Q11QZ0DR,2021-12-08 03:59:50,21:10:37,CDF69PYO,Online,8,,OSCTLM68,97ITR7CC
146,U8VJYLQQ,2020-03-12 03:59:50,13:13:14,Y7C9AMI1,Online,8,,DTAUXRC6,PAMCGK31
147,5CIB9HI3,2021-02-09 03:59:50,13:10:21,L9BCBOET,Mobile,6,,75I0GD0I,88AA8YB6
148,AYU536H1,2021-03-08 03:59:50,13:26:03,6IWADWWZ,In-store,2,,AMYCNQBN,SO9L7D59
149,6XR5V03Q,2020-08-30 03:59:50,23:30:24,68IAHK2W,Online,1,,8LJQZNMU,38UTIWBG
150,8RUXM4SR,2021-02-02 03:59:50,20:16:57,QYG5UIYI,Online,5,,N2KXRD6A,ZH008SZ1
151,468ZYOQV,2023-03-23 03:59:50,15:42:41,ELMQE8XC,In-store,1,,DX9T5OAE,6180NYAR
152,JY8HZXK7,2023-03-11 03:59:50,12:46:11,10L36MTR,Mobile,7,,3JSS9EN7,0KZUQUNG
153,85QDQ7IW,2022-04-24 03:59:50,14:22:25,H0Y2X50P,Mobile,1,,8PAJP2PH,9G3SASI5
154,C043SF9H,2024-10-03 03:59:50,23:12:08,DLDWEYP2,Mobile,5,,DMS1YOOU,39QX8N1V
155,H0KMMRZO,2023-03-06 03:59:50,05:37:21,F0L7S7IW,In-store,6,,PA5OEI2H,5YO1F87I
156,ZOD27L9L,2022-01-16 03:59:50,05:09:48,DL3445IU,Mobile,8,,8QIC9N7Z,TM41U8YR
157,V5NCGXBK,2023-08-09 03:59:50,03:42:51,XYD8T0KV,Online,10,,LCC12NKI,N8C13GZ4
158,6B4KA7EO,2021-09-09 03:59:50,16:39:10,LOIHJAOP,Online,10,,38BB60ME,0TKMN04W
159,SZZ956K2,2020-02-17 03:59:50,10:53:20,AUR61H7Z,In-store,5,,X1A9O6Z6,CYBZ7WH7
160,DFF3K3XC,2020-02-09 03:59:50,17:08:42,79STD8V3,Online,2,,XWRQ5FO4,HDVCR422
161,01U7HKKS,2021-09-29 03:59:50,17:01:33,HCV7EIMY,Online,2,,X8JCUWOZ,PK12UA57
162,TF13MGH9,2023-09-29 03:59:50,23:18:16,FS4JMZQZ,Online,8,,16OG6JTA,IQ2UR8KI
163,27RKGTOT,2023-12-02 03:59:50,21:17:10,IVCTLFYG,Mobile,1,,GISL57F6,SEGWXT8Q
164,BA9TCZ15,2022-10-25 03:59:50,20:21:25,2GQCWA5J,Mobile,7,,PH94C786,LV4I5DLY
165,BU2FQ1ZC,2023-02-24 03:59:50,03:32:28,RNMXZHHN,Online,4,,9JLCIA0E,V45NA4QL
166,B8S7L01X,2022-07-13 03:59:50,03:45:58,YY8HXQRA,In-store,3,,EM84YJ4W,S928MKR5
167,3YYMECHM,2023-11-07 03:59:50,12:11:53,9OTDYGMP,Online,10,,EGIRRGFL,EUTTL256
168,C6VFTUHS,2022-10-19 03:59:50,15:17:24,X20AF1DF,Online,1,,AT484MU9,JIWC211A
169,M74FUUVL,2020-06-12 03:59:50,01:18:03,0ZFOTFQK,Online,4,,Z6VFJK7P,QQPGCVPJ
170,T3NTJOY3,2022-04-20 03:59:50,09:24:18,XMLCGHGR,Online,1,,AWV4Q56S,I4PI80D2
171,0DNMXI2G,2023-05-16 03:59:50,22:33:43,CUEM1L9C,Mobile,5,,E27VBTS7,WY5HWZ01
172,9K9DC5RX,2023-06-05 03:59:50,03:03:34,I6M42G3C,Online,10,,ZEX5JGUQ,OH80OOVB
173,4YBGELU3,2020-01-28 03:59:50,01:38:50,KRIOWACR,Mobile,8,,4YG55LQB,YX2U2XXK
174,OV6MA98H,2020-08-24 03:59:50,07:08:07,WT73HQ1N,Mobile,9,,AWC3H0HF,NOX5WQRQ
175,TTCBY65J,2024-04-25 03:59:50,04:16:41,1CUGQHKL,Mobile,2,,Y3DPHZET,P5Y7RFKW
176,3D5X6665,2023-09-12 03:59:50,23:39:09,PHU4ET5B,In-store,9,,I4HK01XS,GVFY8KBS
177,2BGQUQ7C,2023-06-20 03:59:50,15:18:27,539LFIBE,Online,7,,HMVIYD6A,ES43XOT1
178,3STUY9V5,2021-12-19 03:59:50,01:13:26,DH7FDDTO,In-store,4,,ZMGJJI7Q,0XP4ZIQJ
179,UEVA9RKV,2021-05-28 03:59:50,08:02:48,QUT4ATNT,In-store,7,,TICYAGU8,UZ7P1JG1
180,9PGCYVT1,2020-04-22 03:59:50,04:24:36,GYTG3QBR,In-store,8,,E6WI6KZP,9BERJU0I
181,OQVLSZ04,2021-11-07 03:59:50,01:36:50,0A1O7IMO,Online,3,,1UJT7RNA,ZUDJQOFS
182,7TVYPIND,2022-03-20 03:59:50,15:14:48,SOJCK16U,In-store,8,,HHC533IQ,X5Z97GVR
183,YKG400S6,2020-05-31 03:59:50,16:55:35,VFPW38DN,Mobile,7,,9JMFJGEV,5V2GBPOC
184,DN8R73KD,2020-10-27 03:59:50,06:45:20,TUPS3C7L,Online,5,,KNQ789VR,FLW9Q1HI
185,WV0PPRJ1,2021-12-11 03:59:50,21:34:22,A7CKG9I1,Online,4,,SZZRSUU1,0OBDDTFO
186,C9711W8U,2020-03-26 03:59:50,20:36:24,J3X4DUVZ,In-store,9,,IQGMN36I,U8ZELD8V
187,WCUBG3IK,2020-08-01 03:59:50,00:03:40,QP0WKA92,In-store,2,,Y35N0XJV,VZP86B3G
188,Q566K1C4,2022-09-24 03:59:50,15:31:58,X95V7TRO,Mobile,3,,65OPFHXI,2JRNA1ND
189,A4496MR2,2023-12-31 03:59:50,22:52:34,0ZETLQ5H,In-store,8,,0OFBM7PS,Y1UW06W7
190,00CK47R1,2022-11-05 03:59:50,02:43:05,E574SE5Q,In-store,9,,OAVDSAD8,I9PMBVPV
191,Q6D6XEXF,2020-12-11 03:59:50,22:49:32,17PWSS1F,In-store,9,,VDPU90N5,1G4RS75D
192,VXU1KGHJ,2020-10-16 03:59:50,16:23:20,C1LFWBID,Online,8,,R3M6ATNT,I87VC1QH
193,RRS5WP89,2021-12-07 03:59:50,00:14:28,H98E6Y2P,Online,5,,X2WDZYRJ,E4OCLM85
194,HUU27S6Z,2021-10-02 03:59:50,04:52:37,H311OGKJ,Mobile,3,,5FQ0E3RG,SAB1YESA
195,S8Y127HF,2021-02-25 03:59:50,21:00:19,88F6JBTC,In-store,8,,SZP03RJS,L8FS3D5C
196,OSW2WSKD,2022-07-06 03:59:50,21:18:29,0D8QA81I,In-store,4,,KF4FEGS5,FUHU0XK0
197,TAJQXFOG,2022-04-29 03:59:50,14:31:11,SK42QQ98,Online,2,,KSBQI7XC,23ODYL1H
198,BBIDLZ45,2020-09-11 03:59:50,21:36:37,JSJNYNBF,Mobile,3,,HBYIAHKP,4NVYYHC0
199,BEU5K8OJ,2020-11-19 03:59:50,03:11:21,8C3P558N,Mobile,6,,T0M9615T,MJKYESE4
200,0S6XCNKX,2022-09-19 03:59:50,16:29:49,QUB2DBEL,Online,7,,GDOF0TIL,S53ADXC9
201,57OUGF7I,2021-05-08 03:59:50,05:23:36,8X08FDRB,Mobile,1,,CSLXXW0F,U8F7JCU6
202,R7LG1TXV,2020-09-05 03:59:50,04:56:25,GCPDJ2I5,Mobile,8,,WTM22G30,627BJKLL
203,36PT0QWT,2024-03-26 03:59:50,00:42:49,NVVMXW0H,Online,5,,72XXE36O,5W8JWZH2
204,74AOLR7M,2023-03-17 03:59:50,18:42:43,S0G550B2,Mobile,10,,VOISLUX7,888NV3WD
205,TYZNRUSI,2023-07-23 03:59:50,15:07:05,GU1W4RBY,Online,9,,MJ1WKP7V,RIIPJU4F
206,OOJ4MJTF,2023-03-12 03:59:50,03:13:24,MMMDE5D3,Online,1,,8R6DGIBL,Z1D36GUZ
207,C0D560XE,2019-11-01 03:59:50,01:20:06,GCNZWK15,Online,9,,CWDDL1DP,3BEM2PXL
208,5OW9O57N,2021-03-13 03:59:50,16:30:38,6CB5WVG6,Online,2,,OPW0LHS8,R0UASKFS
209,VBZC6KXI,2023-10-15 03:59:50,14:18:57,GQ2BHY0Y,Mobile,8,,8EGXCJAJ,9ZDQ9U3P
210,HZP6E3YD,2020-02-18 03:59:50,16:46:35,Z2Y444EZ,Online,3,,UX0MKSVF,3W3XSVF2
211,T66Y1UG5,2023-10-31 03:59:50,08:56:39,ES3T3ENI,Mobile,8,,CB9NCO8R,Y51ESCF9
212,N16WJ3A1,2022-04-22 03:59:50,01:09:16,PM34DK0I,In-store,1,,KLS187G8,WWH7PYTR
213,RFMMQ756,2024-05-30 03:59:50,01:14:45,NL9A5KIZ,In-store,4,,NIOWIY9Q,BHW3GQE7
214,JOAE3BMG,2020-09-23 03:59:50,06:33:44,RSOPA7FN,In-store,9,,N1X8D3N6,G1IOQ2PQ
215,4TCZ4R12,2023-05-20 03:59:50,20:03:53,MI53LZHA,Mobile,5,,7I7ERLKH,FPUBDVMX
216,RONEJL0W,2023-09-14 03:59:50,06:24:20,E6B1MF2Y,Online,6,,BDVZX0KX,WJOZMKC0
217,5RU1CGK7,2019-10-26 03:59:50,21:55:26,S4ARUYD2,Mobile,10,,UCEU0I75,D2RHT0IY
218,BZH5U4A3,2021-07-09 03:59:50,14:37:25,V37XUEBY,Mobile,9,,MLB140HG,PU9WNLI2
219,3U7CC8FV,2020-10-08 03:59:50,09:43:17,A4XIZUWJ,In-store,9,,TCF5Y9EQ,X92S0S0C
220,RCWJVM2I,2022-12-18 03:59:50,22:29:32,MXIQVI3N,Mobile,8,,P7O7PISJ,DYE21R2T
